"n","tiempo (ns)"
1,4196
2,2440
3,3946
4,3765
5,5001
6,8042
7,7788
8,8546
9,11154
10,14135
11,16318
12,17019
13,20470
14,24264
15,26659
16,30472
17,34585
18,40405
19,44275
20,49996
21,56526
22,62783
23,68812
24,75917
25,82614
26,90158
27,102404
28,106582
29,119235
30,128538
31,145142
32,152926
33,163785
34,179410
35,193052
36,203354
37,221859
38,237439
39,251476
40,268754
41,286025
42,309228
43,325940
44,346279
45,367710
46,388709
47,408853
48,428906
49,454083
50,483266
51,510437
52,532636
53,567749
54,580800
55,629915
56,670148
57,682501
58,725785
59,752297
60,790425
61,820042
62,857421
63,909711
64,926031
65,969966
66,1021566
67,1062195
68,1096990
69,1149579
70,1200255
71,1250333
72,1404015
73,1363178
74,1377824
75,1480752
76,1485478
77,1573397
78,1605526
79,1658927
80,1750537
81,1792321
82,1856911
83,1907323
84,1995458
85,2040311
86,2093707
87,2197220
88,2278238
89,2333076
90,2389743
91,2462598
92,2528879
93,2594617
94,2749581
95,2768582
96,2870830
97,2946774
98,3051473
99,3119260
100,3228537
101,3271399
102,3391772
103,3472204
104,3606761
105,3716606
106,3790445
107,3895670
108,3997012
109,4099797
110,4207361
111,4315843
112,4404461
113,4536228
114,4644601
115,4759311
116,4872953
117,5002628
118,5097162
119,5257531
120,5403628
121,5506580
122,5676360
123,5747573
124,5902578
125,6040003
126,6169107
127,6288755
128,6458398
129,6666730
130,6827588
131,6910251
132,7050897
133,7238944
134,7322202
135,7527525
136,7679215
137,7827415
138,7976480
139,8142475
140,8347894
141,8484035
142,8660022
143,8843991
144,9015086
145,9202271
146,9332017
147,9530402
148,9790961
149,9992732
150,10173048
151,10317267
152,10440538
153,10824642
154,10931736
155,11115193
156,11269642
157,11510335
158,11790641
159,11940854
160,12095490
161,12358506
162,12631911
163,12815964
164,13052270
165,13301694
166,13444490
167,13685151
168,13932804
169,14753286
170,14889092
171,14675077
172,14941542
173,15256773
174,15496084
175,15628774
176,16009731
177,16300241
178,16526061
179,16764625
180,16993891
181,17358872
182,17578703
183,17882190
184,18128523
185,18376077
186,18687974
187,18979181
188,19272446
189,19556228
190,19907685
191,20361964
192,20579879
193,20856686
194,21170570
195,21374473
196,21681668
197,22162544
198,22504992
199,22808014
200,23401353
201,23496649
202,23785851
203,24216958
204,24390142
205,24795466
206,25215582
207,25500928
208,25963581
209,26275882
210,26517646
211,27001756
212,27660674
213,27668608
214,27982095
215,28412291
216,28930887
217,29252356
218,29555709
219,29976595
220,30350705
221,30779470
222,31249238
223,31629988
224,32127961
225,32470201
226,32778261
227,33500581
228,33700565
229,34094915
230,34591652
231,34988994
232,35401880
233,36285879
234,36664072
235,36715572
236,37313835
237,37746416
238,38223764
239,38661670
240,39241838
241,39908701
242,40009525
243,40573311
244,40981233
245,41341504
246,42074671
247,42550712
248,43178499
249,43479715
250,44149491
251,44655134
252,45243368
253,45892452
254,46025990
255,48065200
256,47263976
257,47769814
258,48362107
259,48831254
260,49390490
261,49831153
262,50403654
263,51023274
264,51585676
265,52507930
266,52929693
267,53410245
268,54023219
269,54539201
270,55086387
271,55878285
272,56508256
273,57044178
274,57600749
275,58074061
276,59638636
277,59697229
278,60228435
279,61149058
280,61545558
281,61884033
282,62461271
283,63136915
284,63844222
285,64587617
286,65357633
287,66144139
288,66669634
289,67095561
290,68101396
291,68625466
292,69110951
293,70045836
294,70707498
295,71687634
296,71961903
297,74027423
298,75004555
299,74265553
300,74977989
