"n","tiempo (ns)"
1,-1
2,-1
3,-1
4,-1
5,9364
6,9801
7,10779
8,12479
9,13754
10,14918
11,16528
12,17841
13,19490
14,21571
15,22935
16,24617
17,26944
18,28695
19,30667
20,32175
21,34579
22,36240
23,38246
24,40126
25,42193
26,44861
27,48130
28,49224
29,52730
30,54209
31,56769
32,58862
33,62141
34,64547
35,66876
36,69414
37,73201
38,75379
39,77365
40,81045
41,83758
42,86056
43,90310
44,92962
45,95418
46,98916
47,101865
48,105289
49,108687
50,112171
51,115368
52,117286
53,122436
54,125745
55,128896
56,133528
57,136109
58,141000
59,144325
60,148330
61,151081
62,166732
63,167683
64,169086
65,173776
66,175605
67,179771
68,184850
69,188957
70,193109
71,200330
72,200413
73,207438
74,210631
75,214995
76,218933
77,224863
78,228750
79,233540
80,237661
81,243292
82,249713
83,254521
84,257037
85,263789
86,268564
87,275658
88,279129
89,298130
90,291928
91,295061
92,299162
93,305103
94,309482
95,317062
96,319929
97,328347
98,333350
99,337162
100,343144
101,348917
102,354479
103,360630
104,366899
105,373479
106,379921
107,386261
108,391149
109,396211
110,405689
111,409788
112,415224
113,423101
114,430134
115,434931
116,439981
117,446662
118,454486
119,462465
120,467079
121,473488
122,480034
123,487644
124,493212
125,499790
126,523647
127,522835
128,521901
129,528804
130,537747
131,542604
132,549361
133,559867
134,565833
135,571619
136,580139
137,587519
138,593519
139,605221
140,609713
141,616255
142,623837
143,634654
144,643026
145,649956
146,656931
147,661769
148,673307
149,681016
150,686878
151,693356
152,703827
153,713469
154,719389
155,722654
156,735591
157,742576
158,753487
159,762634
160,768882
161,780742
162,783795
163,795799
164,800403
165,809395
166,820530
167,829697
168,837263
169,845611
170,855172
171,867208
172,872258
173,884994
174,889093
175,901068
176,907703
177,913894
178,925102
179,938450
180,948753
181,954347
182,966844
183,975292
184,982983
185,994887
186,1004319
187,1011105
188,1019462
189,1038791
190,1044654
191,1050305
192,1059229
193,1072788
194,1079425
195,1089968
196,1102827
197,1114445
198,1123290
199,1131146
200,1145871
201,1150869
202,1163844
203,1172554
204,1182032
205,1193247
206,1204257
207,1213726
208,1224793
209,1236229
210,1245967
211,1254635
212,1265799
213,1276811
214,1290089
215,1298778
216,1308128
217,1321420
218,1332101
219,1345629
220,1353129
221,1360904
222,1373323
223,1388442
224,1401117
225,1411836
226,1422930
227,1433707
228,1443633
229,1453309
230,1468130
231,1476362
232,1491965
233,1504485
234,1512952
235,1526004
236,1535622
237,1548992
238,1556719
239,1574204
240,1587645
241,1595576
242,1610184
243,1622631
244,1639130
245,1650397
246,1659112
247,1667920
248,1685265
249,1699578
250,1713131
251,1720170
252,1735084
253,1744337
254,1758136
255,1769078
256,1782587
257,1796538
258,1804907
259,1823949
260,1834598
261,1845269
262,1860371
263,1871728
264,1887852
265,1897213
266,1911981
267,1923096
268,1938319
269,1952795
270,1965054
271,1978617
272,1995387
273,2003880
274,2018576
275,2036832
276,2044810
277,2059915
278,2069298
279,2084905
280,2104038
281,2113544
282,2126613
283,2143862
284,2155063
285,2171448
286,2182723
287,2197026
288,2210938
289,2225210
290,2240561
291,2252171
292,2272175
293,2284126
294,2299851
295,2306789
296,2329196
297,2341752
298,2351691
299,2374715
300,2388613
