"n","tiempo (ns)"
1,5182
2,8375
3,14160
4,22530
5,40411
6,42380
7,55783
8,72163
9,91016
10,109814
11,132164
12,155693
13,181568
14,208326
15,239521
16,272464
17,307887
18,342459
19,378290
20,449868
21,459325
22,505794
23,550873
24,598749
25,662320
26,706090
27,758177
28,814786
29,872661
30,952480
31,1081525
32,1202319
33,1148069
34,1206415
35,1280349
36,1340129
37,1412901
38,1492723
39,1583452
40,1664890
41,1791443
42,1912190
43,1946112
44,2049058
45,2103084
46,2203226
47,2281779
48,2431517
49,2513669
50,2603112
51,2700063
52,2831872
53,2911567
54,3037751
55,3124441
56,3285310
57,3399224
58,3505580
59,3647319
60,3754995
61,3890539
62,4020915
63,4132034
64,4285468
65,4413691
66,4567159
67,4684582
68,4861945
69,4961032
70,5092327
71,5211926
72,5375024
73,5503688
74,5690986
75,5824028
76,5958338
77,6129208
78,6310969
79,6433379
80,6625023
81,6794814
82,6992446
83,7109238
84,7283008
85,7471082
86,7632370
87,7814602
88,8013377
89,8232389
90,8402019
91,8584257
92,8777534
93,8932570
94,9177919
95,9306993
96,9518939
97,9706953
98,9935267
99,10198303
100,10329751
