"k","tiempo (us)"
10,396
11,397
12,399
13,400
14,402
15,405
16,407
17,408
18,410
19,411
20,414
21,415
22,416
23,418
24,421
25,421
26,424
27,426
28,428
29,429
30,431
31,432
32,434
33,436
34,452
35,500
36,443
37,444
38,445
39,459
40,460
41,462
42,464
43,466
44,469
45,460
46,459
47,461
48,463
49,464
50,466
51,468
52,470
53,471
54,473
55,475
56,476
57,479
58,482
59,483
60,484
61,486
62,486
63,489
64,491
65,494
66,509
67,602
68,500
69,500
70,505
71,505
72,509
73,511
74,509
75,509
76,513
77,515
78,516
79,517
80,526
81,527
82,529
83,532
84,533
85,534
86,538
87,539
88,541
89,544
90,545
91,548
92,549
93,552
94,554
95,556
96,559
97,559
98,561
99,565
100,565
101,568
102,571
103,573
104,576
105,577
106,578
107,581
108,583
109,585
110,588
111,589
112,591
113,595
114,597
115,597
116,600
117,602
118,604
119,607
120,609
121,609
122,611
123,615
124,617
125,619
126,621
127,624
128,626
129,627
130,630
131,631
132,634
133,635
134,638
135,640
136,642
137,643
138,645
139,647
140,650
141,652
142,655
143,658
144,658
145,660
146,662
147,664
148,666
149,668
150,671
151,673
152,677
153,678
154,679
155,681
156,684
157,684
158,688
159,689
160,692
161,693
162,696
163,699
164,700
165,701
166,705
167,708
168,711
169,712
170,713
171,717
172,718
173,719
174,721
175,724
176,727
177,727
178,730
179,733
180,735
181,735
182,738
183,740
184,742
185,744
186,747
187,748
188,751
189,754
190,754
191,757
192,759
193,760
194,763
195,766
196,767
197,770
198,771
199,774
200,776
201,778
202,780
203,781
204,784
205,787
206,788
207,791
208,793
209,793
210,797
211,799
212,801
213,802
214,805
215,806
216,809
217,811
218,813
219,815
220,816
221,820
222,821
223,823
224,825
225,827
226,830
227,833
228,834
229,838
230,840
231,845
232,843
233,847
234,847
235,848
236,852
237,851
238,856
239,857
240,860
241,863
242,864
243,865
244,869
245,868
246,873
247,873
248,877
249,877
250,882
251,883
252,886
253,887
254,889
255,891
256,894
257,895
258,898
259,898
260,903
261,905
262,906
263,909
264,910
265,911
266,915
267,916
268,920
269,919
270,924
271,924
272,926
273,927
274,931
275,932
276,936
277,936
278,939
279,943
280,944
281,944
282,947
283,948
284,952
285,953
286,956
287,956
288,960
289,962
290,966
291,966
292,968
293,968
294,976
295,972
296,977
297,978
298,980
299,983
300,986
