"n","tiempo (us)"
1,5
2,8
3,15
4,27
5,45
6,69
7,117
8,186
9,276
10,390
11,528
12,1379
13,2442
14,5098
15,6590
16,7809
17,9606
18,10954
19,12593
20,14356
21,16239
22,18353
23,20454
24,22672
25,24983
26,27433
27,30102
28,32782
29,35516
30,38368
31,41337
32,44539
33,47727
34,51008
35,54418
36,57963
37,61758
38,65495
39,69405
40,73344
41,77446
42,81718
43,85966
44,90458
45,94835
46,99590
47,104482
48,109319
49,114200
50,119245
51,124373
52,129755
53,135259
54,140808
55,146334
56,152245
57,157967
58,163861
59,169958
60,176320
61,182563
62,189014
63,195564
64,202547
65,208909
66,215975
67,222739
68,229770
69,237700
70,244153
71,251359
72,259691
73,266622
74,274313
75,282071
