"k","tiempo (us)"
1,39
2,39
3,39
4,40
5,40
6,42
7,43
8,43
9,43
10,45
11,45
12,45
13,46
14,46
15,47
16,48
17,48
18,49
19,49
20,50
21,50
22,51
23,51
24,52
25,52
26,53
27,53
28,54
29,54
30,55
31,55
32,56
33,57
34,57
35,58
36,58
37,59
38,60
39,61
40,61
41,61
42,62
43,63
44,63
45,64
46,64
47,64
48,65
49,65
50,66
51,67
52,68
53,68
54,72
55,69
56,73
57,71
58,71
59,72
60,72
61,73
62,74
63,74
64,75
65,75
66,76
67,76
68,76
69,77
70,79
71,79
72,79
73,79
74,80
75,80
76,81
77,82
78,82
79,83
80,84
81,84
82,85
83,86
84,86
85,87
86,87
87,87
88,88
89,89
90,89
91,90
92,91
93,91
94,92
95,92
96,92
97,93
98,94
99,94
100,95
101,98
102,98
103,96
104,97
105,98
106,98
107,99
108,99
109,100
110,101
111,101
112,102
113,102
114,103
115,103
116,104
117,104
118,105
119,105
120,106
121,107
122,107
123,108
124,108
125,109
126,110
127,110
128,111
129,111
130,111
131,112
132,113
133,113
134,114
135,115
136,115
137,117
138,116
139,117
140,117
141,118
142,119
143,119
144,120
145,121
146,121
147,121
148,122
149,123
150,123
151,124
152,125
153,125
154,125
155,126
156,127
157,127
158,127
159,128
160,129
161,130
162,130
163,132
164,131
165,132
166,133
167,133
168,134
169,134
170,135
171,135
172,136
173,137
174,137
175,137
176,138
177,138
178,139
179,140
180,140
181,141
182,141
183,142
184,143
185,144
186,144
187,144
188,145
189,145
190,146
191,147
192,147
193,148
194,148
195,152
196,150
197,150
198,151
199,151
200,152
