"n","tiempo (us)"
1,8
2,13
3,23
4,49
5,72
6,124
7,137
8,248
9,491
10,394
11,540
12,677
13,953
14,1199
15,1684
16,1891
17,1974
18,2456
19,2784
20,3303
21,3737
22,4586
23,6031
24,6169
25,7406
26,8331
27,8376
28,7558
29,11138
30,10919
31,10286
32,11455
33,12687
34,13846
35,42120
36,17671
37,17244
38,23602
39,52227
40,25926
41,96512
42,24586
43,26310
44,31909
45,31476
46,164108
47,147722
48,155656
49,76128
50,46569
51,294878
52,44743
53,48415
54,121706
55,97037
56,162865
57,127782
58,100589
59,104876
60,273096
