"k","tiempo (us)"
1,52
2,45
3,45
4,50
5,49
6,53
7,52
8,51
9,52
10,60
11,67
12,51
13,67
14,67
15,55
16,53
17,58
18,64
19,65
20,66
21,53
22,71
23,62
24,63
25,68
26,71
27,56
28,60
29,63
30,61
31,74
32,78
33,62
34,64
35,80
36,74
37,64
38,70
39,68
40,64
41,82
42,78
43,71
44,71
45,72
46,74
47,68
48,75
49,84
50,75
51,79
52,85
53,90
54,92
55,85
56,84
57,87
58,81
59,78
60,94
61,88
62,89
63,85
64,81
65,95
66,89
67,97
68,98
69,82
70,98
71,94
72,82
73,86
74,83
75,89
76,87
77,97
78,94
79,93
80,103
81,94
82,87
83,92
84,110
85,92
86,96
87,96
88,110
89,93
90,97
91,100
92,97
93,114
94,111
95,104
96,113
97,97
98,111
99,105
100,117
101,99
102,112
103,101
104,105
105,106
106,103
107,110
108,120
109,110
110,107
111,123
112,108
113,104
114,112
115,108
116,121
117,120
118,117
119,111
120,109
121,124
122,123
123,117
124,124
125,117
126,130
127,112
128,132
129,115
130,117
131,128
132,119
133,124
134,119
135,121
136,138
137,128
138,128
139,137
140,124
141,127
142,131
143,128
144,135
145,130
146,126
147,123
148,138
149,127
150,128
151,133
152,144
153,128
154,131
155,140
156,148
157,144
158,136
159,137
160,135
161,140
162,153
163,135
164,147
165,139
166,136
167,154
168,151
169,157
170,156
171,146
172,148
173,146
174,153
175,154
176,150
177,153
178,150
179,145
180,152
181,165
182,151
183,149
184,165
185,165
186,159
187,156
188,153
189,154
190,154
191,153
192,169
193,158
194,157
195,159
196,156
197,153
198,170
199,163
200,157
